Temperature,Time,Pressure,GasFlow,WaferID,AvgDefectNum
-1,-1,-1,-1,1,378
1,-1,-1,-1,1,415
-1,1,-1,-1,1,380
1,1,-1,-1,1,450
-1,-1,1,-1,1,375
1,-1,1,-1,1,391
-1,1,1,-1,1,384
1,1,1,-1,1,426
-1,-1,-1,1,1,381
1,-1,-1,1,1,416
-1,1,-1,1,1,371
1,1,-1,1,1,445
-1,-1,1,1,1,377
1,-1,1,1,1,391
-1,1,1,1,1,375
1,1,1,1,1,430
-1,-1,-1,-1,2,376
1,-1,-1,-1,2,416
-1,1,-1,-1,2,379
1,1,-1,-1,2,446
-1,-1,1,-1,2,371
1,-1,1,-1,2,390
-1,1,1,-1,2,385
1,1,1,-1,2,433
-1,-1,-1,1,2,381
1,-1,-1,1,2,420
-1,1,-1,1,2,372
1,1,-1,1,2,448
-1,-1,1,1,2,377
1,-1,1,1,2,391
-1,1,1,1,2,376
1,1,1,1,2,430
-1,-1,-1,-1,3,379
1,-1,-1,-1,3,416
-1,1,-1,-1,3,382
1,1,-1,-1,3,449
-1,-1,1,-1,3,373
1,-1,1,-1,3,388
-1,1,1,-1,3,386
1,1,1,-1,3,430
-1,-1,-1,1,3,375
1,-1,-1,1,3,412
-1,1,-1,1,3,371
1,1,-1,1,3,443
-1,-1,1,1,3,379
1,-1,1,1,3,386
-1,1,1,1,3,376
1,1,1,1,3,428
-1,-1,-1,-1,4,379
1,-1,-1,-1,4,417
-1,1,-1,-1,4,383
1,1,-1,-1,4,447
-1,-1,1,-1,4,369
1,-1,1,-1,4,391
-1,1,1,-1,4,385
1,1,1,-1,4,431
-1,-1,-1,1,4,383
1,-1,-1,1,4,412
-1,1,-1,1,4,370
1,1,-1,1,4,448
-1,-1,1,1,4,379
1,-1,1,1,4,400
-1,1,1,1,4,377
1,1,1,1,4,428
